0,5637_URINARY_TRACT,1,5637_URINARY_TRACT_amplicon1_ecDNA_1,ecDNA,"['E2F3', 'SOX4']",['chr6:20350615-22839372'],1.223166801,2488757,29.75728688,67.4193292,None,GRCh38,urinary tract,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/5637_URINARY_TRACT_amplicon1_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/5637_URINARY_TRACT.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/5637_URINARY_TRACT_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/5637_URINARY_TRACT_sample_metadata.json,"['CASC15', 'CDKAL1', 'E2F3', 'HDGFL1', 'NBAT1', 'PRL', 'SOX4']"
1,5637_URINARY_TRACT,1,5637_URINARY_TRACT_amplicon1_ecDNA_2,ecDNA,"['FANCD2', 'PPARG', 'RAF1', 'SRGAP3', 'VHL']","['chr3:9099507-9519221', 'chr3:9521655-10184493', 'chr3:10187258-14005720']",0.709580866,4901014,13.17501896,17.28348963,None,GRCh38,urinary tract,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/5637_URINARY_TRACT_amplicon1_ecDNA_2_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/5637_URINARY_TRACT.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/5637_URINARY_TRACT_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/5637_URINARY_TRACT_sample_metadata.json,"['ARPC4', 'ARPC4-TTLL3', 'ATG7', 'ATP2B2', 'ATP2B2-IT2', 'BRK1', 'BRPF1', 'CAMK1', 'CAND2', 'CIDEC', 'CIDECP1', 'CPNE9', 'CRELD1', 'EMC3', 'EMC3-AS1', 'FANCD2', 'FANCD2OS', 'FBLN2', 'FGD5P1', 'GHRL', 'GHRLOS', 'HDAC11', 'HDAC11-AS1', 'HRH1', 'IL17RC', 'IL17RE', 'IQSEC1', 'IRAK2', 'JAGN1', 'LHFPL4', 'MKRN2', 'MKRN2OS', 'MTMR14', 'NUP210', 'OGG1', 'PPARG', 'PRRT3', 'PRRT3-AS1', 'RAF1', 'RPL32', 'RPUSD3', 'SEC13', 'SETD5', 'SLC6A1', 'SLC6A1-AS1', 'SLC6A11', 'SNORA7A', 'SNORA93', 'SRGAP3', 'SRGAP3-AS2', 'SRGAP3-AS3', 'SRGAP3-AS4', 'SYN2', 'TADA3', 'TAMM41', 'TATDN2', 'THUMPD3', 'THUMPD3-AS1', 'TIMP4', 'TMEM40', 'TPRXL', 'TSEN2', 'TTLL3', 'VGLL4', 'VHL', 'WNT7A']"
3,59M_OVARY,2,59M_OVARY_amplicon2_ecDNA_2,ecDNA,['TRIB1'],"['chr8:124484622-125582885', 'chr8:125588889-125953950']",0.366704951,1463324,10.04720059,10.04720059,None,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon2_ecDNA_2_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,"['MTSS1', 'NDUFB9', 'NSMCE2', 'SQLE', 'TATDN1', 'TRIB1', 'WASHC5', 'ZNF572']"
4,59M_OVARY,2,59M_OVARY_amplicon2_ecDNA_1,ecDNA,['TCEA1'],"['chr8:52712046-56014576', 'chr8:65533018-65573949', 'chr8:71974787-71975210']",1.074873951,3343884,15.12937505,24.85406887,None,GRCh38,ovary,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/59M_OVARY_amplicon2_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/59M_OVARY.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/59M_OVARY_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/59M_OVARY_sample_metadata.json,"['ATP6V1H', 'LYN', 'LYPLA1', 'MRPL15', 'NPBWR1', 'OPRK1', 'RB1CC1', 'RGS20', 'RNU105C', 'RP1', 'SBF1P1', 'SNORA1B', 'SOX17', 'TCEA1', 'TGS1', 'TMEM68', 'XKR4']"
8,8305C_THYROID,1,8305C_THYROID_amplicon1_ecDNA_1,ecDNA,['DUSP26'],"['chr8:33167666-33301262', 'chr8:33302858-34254640', 'chr20:34283685-34285398', 'chr20:34299250-34611096']",0.375312268,1398937,25.98792488,44.56189629,None,GRCh38,thyroid,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/8305C_THYROID_amplicon1_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/8305C_THYROID.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/8305C_THYROID_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/8305C_THYROID_sample_metadata.json,"['AHCY', 'DUSP26', 'DYNLRB1', 'FUT10', 'ITCH', 'MAK16', 'MAP1LC3A', 'RNF122', 'SNORD13', 'TTI2']"
12,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_ecDNA_1,ecDNA,[],['chr3:61013233-61105860'],0.853170545,92627,4.778728196,6.143751453,LowCN,GRCh38,haematopoietic and lymphoid tissue,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_sample_metadata.json,[]
14,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_ecDNA_1,ecDNA,['TFRC'],"['chr3:195779887-195783346', 'chr3:195783876-195788432', 'chr3:196035694-196047057', 'chr3:196048094-196050519', 'chr3:196051160-196090764', 'chr22:22863501-22941860']",1.185722244,139766,6.440621499,10.07088266,None,GRCh38,haematopoietic and lymphoid tissue,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_sample_metadata.json,"['IGLL5', 'TFRC']"
16,ABC1_LUNG,1,ABC1_LUNG_amplicon1_ecDNA_1,ecDNA,[],['chr4:161967909-162770269'],0.683321199,802360,5.16974412,5.16974412,LowCN,GRCh38,lung,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/ABC1_LUNG_amplicon1_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/ABC1_LUNG.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/ABC1_LUNG_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/ABC1_LUNG_sample_metadata.json,['FSTL5']
19,ABC1_LUNG,4,ABC1_LUNG_amplicon4_ecDNA_1,ecDNA,['CSNK2A1'],"['chr20:537320-1408502', 'chr20:1410170-1580396', 'chr20:1613533-1804925']",0.688915247,1232800,9.228803798,10.71791704,None,GRCh38,lung,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/ABC1_LUNG_amplicon4_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/ABC1_LUNG.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon4.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon4.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/ABC1_LUNG_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/ABC1_LUNG_sample_metadata.json,"['ANGPT4', 'C20orf202', 'CSNK2A1', 'FAM110A', 'FKBP1A', 'FKBP1A-SDCBP2', 'NSFL1C', 'PSMF1', 'RAD21L1', 'RSPO4', 'SCRT2', 'SDCBP2', 'SDCBP2-AS1', 'SIRPB2', 'SIRPB3P', 'SIRPD', 'SIRPG', 'SIRPG-AS1', 'SLC52A3', 'SNPH', 'SRXN1', 'TCF15', 'TMEM74B']"
23,AU565_BREAST,1,AU565_BREAST_amplicon1_ecDNA_1,ecDNA,['MYD88'],['chr3:37937674-38298744'],0.426623019,361070,4.746376876,4.746376876,LowCN,GRCh38,breast,cell line,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/ccle_hg38_classification_bed_files/AU565_BREAST_amplicon1_ecDNA_1_intervals.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_ac/files/AU565_BREAST.cs.rmdup_uncorr_CN.bed,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/AU565_BREAST/AU565_BREAST_AA_results/AU565_BREAST_amplicon1.png,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/AU565_BREAST/AU565_BREAST_AA_results/AU565_BREAST_amplicon1.pdf,/Users/jluebeck/Desktop/research/CCLE/hg38/CCLE_AA_outputs_102722/AU565_BREAST/AU565_BREAST_AA_results/AU565_BREAST_summary.txt,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_run_metadata_files/AU565_BREAST_run_metadata.json,/Users/jluebeck/Desktop/research/CCLE/hg38/ccle_hg38_sample_json_files/AU565_BREAST_sample_metadata.json,"['ACAA1', 'DLEC1', 'MYD88', 'OXSR1', 'PLCD1', 'SLC22A13', 'SLC22A14', 'VILL']"
